record_type,packet_id,timestamp_us,ts_sec,ts_usec,flow_id,direction,ip_version,src_ip,dst_ip,src_port,dst_port,protocol,pkt_len,ip_len,payload_len,ttl_or_hop_limit,tcp_seq,tcp_ack,tcp_flags,tcp_window,tcp_header_len,udp_len,icmp_type,icmp_code,l7_proto,flow_iat_us,direction_iat_us,packet_label
packet,0,1753970810660672,1753970810,660672,604613526365634,0,4,185.239.63.85,37.187.111.17,54888,80,17,1747,1729,1701,64,0,0,0,-1,-1,1709,-1,-1,22,4530,4530,0
packet,0,1753970810664932,1753970810,664932,604613526365634,0,4,185.239.63.85,37.187.111.17,54888,80,17,1747,1729,1701,64,0,0,0,-1,-1,1709,-1,-1,22,4260,4260,0
packet,0,1753970810668158,1753970810,668158,617917567817967,0,4,185.239.63.85,158.51.125.55,54888,12081,17,1747,1729,1701,64,0,0,0,-1,-1,1709,-1,-1,1,0,0,0
packet,0,1753970810668566,1753970810,668566,596153584028650,1,4,10.30.9.61,185.46.212.237,54646,443,17,121,121,93,127,0,0,0,-1,-1,101,-1,-1,1,24303,116922,0
packet,0,1753970810668583,1753970810,668583,596153584028650,1,4,10.30.9.61,185.46.212.237,54646,443,17,121,121,93,127,0,0,0,-1,-1,101,-1,-1,1,17,17,0
packet,0,1753970810673688,1753970810,673688,604613526365634,0,4,185.239.63.85,37.187.111.17,54888,80,17,1747,1729,1701,64,0,0,0,-1,-1,1709,-1,-1,22,8756,8756,0
packet,0,1753970810681494,1753970810,681494,604613526365634,0,4,185.239.63.85,37.187.111.17,54888,80,17,1747,1729,1701,64,0,0,0,-1,-1,1709,-1,-1,22,7806,7806,0
packet,0,1753970810688685,1753970810,688685,604613526365634,0,4,185.239.63.85,37.187.111.17,54888,80,17,1747,1729,1701,64,0,0,0,-1,-1,1709,-1,-1,22,7191,7191,0
packet,0,1753970810690784,1753970810,690784,604613526365634,0,4,185.239.63.85,37.187.111.17,54888,80,17,1747,1729,1701,64,0,0,0,-1,-1,1709,-1,-1,22,2099,2099,0
packet,0,1753970810691828,1753970810,691828,604613526365634,0,4,185.239.63.85,37.187.111.17,54888,80,17,1747,1729,1701,64,0,0,0,-1,-1,1709,-1,-1,22,1044,1044,0
packet,0,1753970810692882,1753970810,692882,604613526365634,0,4,185.239.63.85,37.187.111.17,54888,80,17,1747,1729,1701,64,0,0,0,-1,-1,1709,-1,-1,22,1054,1054,0
packet,0,1753970810695151,1753970810,695151,604613526365634,0,4,185.239.63.85,37.187.111.17,54888,80,17,1747,1729,1701,64,0,0,0,-1,-1,1709,-1,-1,22,2269,2269,0
packet,0,1753970810697654,1753970810,697654,744603116413836,0,4,185.239.63.85,45.192.210.213,54888,15353,17,1747,1729,1701,64,0,0,0,-1,-1,1709,-1,-1,1,0,0,0
packet,0,1753970810700116,1753970810,700116,604613526365634,0,4,185.239.63.85,37.187.111.17,54888,80,17,1747,1729,1701,64,0,0,0,-1,-1,1709,-1,-1,22,4965,4965,0
packet,0,1753970810701280,1753970810,701280,604613526365634,0,4,185.239.63.85,37.187.111.17,54888,80,17,1747,1729,1701,64,0,0,0,-1,-1,1709,-1,-1,22,1164,1164,0
packet,0,1753970810703669,1753970810,703669,596153584028650,0,4,185.46.212.237,10.30.9.61,443,54646,17,121,121,93,64,0,0,0,-1,-1,101,-1,-1,1,35086,59406,0
packet,0,1753970810728420,1753970810,728420,596153584028650,1,4,10.30.9.61,185.46.212.237,54646,443,17,121,121,93,127,0,0,0,-1,-1,101,-1,-1,1,24751,59837,0
packet,0,1753970810776925,1753970810,776925,676299854571878,0,6,2001:0470:1f14:0536:0000:0000:0000:0002,2603:1061:0000:0700:0000:0000:0000:0001,0,0,58,104,104,56,64,0,0,0,-1,-1,-1,-1,-1,0,500419,500419,0
