flow_id,total_fwd_packets,total_backward_packets,label,flow_duration,flow_iat_mean,flow_iat_max,packet_rows,packet_fwd_count,packet_bwd_count,packet_unknown_direction_count,any_packet_label,alert_packet_count,packet_payload_sum,flow_iat_mean_from_packets,flow_iat_max_from_packets,direction_iat_mean_from_packets,direction_iat_max_from_packets,_merge,fwd_packet_diff,bwd_packet_diff
91043113588465,4,4,0,34953,4993.285714,12630,8,4,4,0,0,0,1935,4369.125,12630,8499.5,19186,both,0,0
91687390865652,4,4,1,44590,6370.0,18173,8,4,4,0,1,1,3992,5573.75,18173,5652.25,28549,both,0,0
92057825802988,1,0,0,0,0.0,0,1,1,0,0,0,0,134,0.0,0,0.0,0,both,0,0
92112032504193,3,4,0,29421,4903.5,17577,7,3,4,0,0,0,2522,4203.0,17577,5189.0,23219,both,0,0
92598116110290,2,1,0,14113,7056.5,7833,3,2,1,0,0,0,340,4704.333333333333,7833,4704.333333333333,14113,both,0,0
92603171130305,6,2,1,44377,6339.571429,28365,8,6,2,0,1,2,133,5547.125,28365,6255.25,33086,both,0,0
92787254184353,1,1,0,2734,2734.0,2734,2,1,1,0,0,0,121,1367.0,2734,0.0,0,both,0,0
93802987673921,1,1,0,6283,6283.0,6283,2,1,1,0,0,0,145,3141.5,6283,0.0,0,both,0,0
93849952232734,1,1,0,4508,4508.0,4508,2,1,1,0,0,0,35,2254.0,4508,0.0,0,both,0,0
94403829934768,2,1,0,43957,21978.5,41298,3,2,1,0,0,0,28,14652.333333333334,41298,14652.333333333334,43957,both,0,0
94449447597159,1,0,0,0,0.0,0,1,1,0,0,0,0,1,0.0,0,0.0,0,both,0,0
95877881157406,1,0,0,0,0.0,0,1,1,0,0,0,0,4,0.0,0,0.0,0,both,0,0
95909922210477,1,0,0,0,0.0,0,1,1,0,0,0,0,510,0.0,0,0.0,0,both,0,0
95977447075518,5,7,0,36605,3327.727273,21147,12,5,7,0,0,0,2082,3050.4166666666665,21147,6083.416666666667,27556,both,0,0
96113005669972,1,1,0,4730,4730.0,4730,2,1,1,0,0,0,35,2365.0,4730,0.0,0,both,0,0
96251742393717,2,0,0,43527,43527.0,43527,2,2,0,0,0,0,0,21763.5,43527,21763.5,43527,both,0,0
96438538635172,2,0,0,43484,43484.0,43484,2,2,0,0,0,0,0,21742.0,43484,21742.0,43484,both,0,0
96954396266458,2,0,0,43364,43364.0,43364,2,2,0,0,0,0,0,21682.0,43364,21682.0,43364,both,0,0
97269517293073,2,0,0,43290,43290.0,43290,2,2,0,0,0,0,0,21645.0,43290,21645.0,43290,both,0,0
98073723176739,1,0,0,0,0.0,0,1,1,0,0,0,0,0,0.0,0,0.0,0,both,0,0
98796983644942,1,0,0,0,0.0,0,1,1,0,0,0,0,122,0.0,0,0.0,0,both,0,0
99653560189277,9,10,0,30137,1674.277778,7423,19,9,10,0,0,0,10563,1586.157894736842,7423,2639.6315789473683,15828,both,0,0
99923199481140,4,0,0,42672,14224.0,32037,4,4,0,0,0,0,208,10668.0,32037,10668.0,32037,both,0,0
100161440021673,1,0,0,0,0.0,0,1,1,0,0,0,0,37,0.0,0,0.0,0,both,0,0
100570332038754,1,0,0,0,0.0,0,1,1,0,0,0,0,319,0.0,0,0.0,0,both,0,0
101831654100620,1,0,0,0,0.0,0,1,1,0,0,0,0,139,0.0,0,0.0,0,both,0,0
102250841375265,2,4,0,40982,8196.4,24648,6,2,4,0,0,0,1241,6830.333333333333,24648,7948.5,24648,both,0,0
102450257664863,2,0,0,42084,42084.0,42084,2,2,0,0,0,0,0,21042.0,42084,21042.0,42084,both,0,0
103217474285830,1,0,0,0,0.0,0,1,1,0,0,0,0,81,0.0,0,0.0,0,both,0,0
103438193691605,2,3,0,18209,4552.25,15009,5,2,3,0,0,0,2713,3641.8,15009,640.0,2829,both,0,0
103695860272280,1,0,0,0,0.0,0,1,1,0,0,0,0,33,0.0,0,0.0,0,both,0,0
103924311292127,1,2,0,1683,841.5,1683,3,1,2,0,0,0,114,561.0,1683,0.0,0,both,0,0
106967603177937,1,0,0,0,0.0,0,1,1,0,0,0,0,272,0.0,0,0.0,0,both,0,0
108554313533382,2,1,0,24001,12000.5,17574,3,2,1,0,0,0,90,8000.333333333333,17574,8000.333333333333,24001,both,0,0
108930833926165,6,5,0,33652,3365.2,9807,11,6,5,0,0,0,3878,3059.2727272727275,9807,4762.454545454545,16763,both,0,0
109061737158233,2,2,0,40545,13515.0,39578,4,2,2,0,0,0,0,10136.25,39578,20030.75,40545,both,0,0
111186522843752,3,4,0,40050,6675.0,10604,7,3,4,0,0,0,3332,5721.428571428572,10604,10162.857142857143,20894,both,0,0
113423104851654,1,0,0,0,0.0,0,1,1,0,0,0,0,0,0.0,0,0.0,0,both,0,0
113547750297141,1,1,0,241,241.0,241,2,1,1,0,0,0,31,120.5,241,0.0,0,both,0,0
114238291419997,1,1,0,699,699.0,699,2,1,1,0,0,0,0,349.5,699,0.0,0,both,0,0
114759182343450,1,0,0,0,0.0,0,1,1,0,0,0,0,175,0.0,0,0.0,0,both,0,0
115285611831899,3,4,0,39095,6515.833333,10499,7,3,4,0,0,0,218,5585.0,10499,10326.857142857143,26491,both,0,0
116276261675921,3,0,0,33901,16950.5,33875,3,3,0,0,0,0,24,11300.333333333334,33875,11300.333333333334,33875,both,0,0
116276509187552,1,0,0,0,0.0,0,1,1,0,0,0,0,0,0.0,0,0.0,0,both,0,0
116651479544767,6,19,0,38556,1606.5,16643,25,6,19,0,0,0,23671,1542.24,16643,2683.16,22156,both,0,0
118528921626060,1,1,0,5471,5471.0,5471,2,1,1,0,0,0,408,2735.5,5471,0.0,0,both,0,0
119938666676799,1,0,0,0,0.0,0,1,1,0,0,0,0,679,0.0,0,0.0,0,both,0,0
120678534927782,1,0,0,0,0.0,0,1,1,0,0,0,0,40,0.0,0,0.0,0,both,0,0
120858372702000,1,1,0,35679,35679.0,35679,2,1,1,0,0,0,144,17839.5,35679,0.0,0,both,0,0
121884043089116,1,1,0,5304,5304.0,5304,2,1,1,0,0,0,68,2652.0,5304,0.0,0,both,0,0
122945814376595,3,0,0,45,22.5,43,3,3,0,0,0,0,63,15.0,43,15.0,43,both,0,0
123740211070449,1,0,0,0,0.0,0,1,1,0,0,0,0,1,0.0,0,0.0,0,both,0,0
123796909121890,1,0,0,0,0.0,0,1,1,0,0,0,0,115,0.0,0,0.0,0,both,0,0
125509571424451,1,1,0,8986,8986.0,8986,2,1,1,0,0,0,302,4493.0,8986,0.0,0,both,0,0
125512620914017,5,3,0,36714,5244.857143,18524,8,5,3,0,0,0,4187,4589.25,18524,4594.75,19360,both,0,0
126050846071408,2,0,0,36589,36589.0,36589,2,2,0,0,0,0,0,18294.5,36589,18294.5,36589,both,0,0
126074622568252,2,0,0,36583,36583.0,36583,2,2,0,0,0,0,0,18291.5,36583,18291.5,36583,both,0,0
126081130430138,2,0,0,36582,36582.0,36582,2,2,0,0,0,0,0,18291.0,36582,18291.0,36582,both,0,0
126901755230912,1,0,0,0,0.0,0,1,1,0,0,0,0,0,0.0,0,0.0,0,both,0,0
127508558735934,1,0,0,0,0.0,0,1,1,0,0,0,0,0,0.0,0,0.0,0,both,0,0
